CompanyName,PreviousClose,LastUpdated,PercentChange,ChangeInPrice,TradeTime,CompanyShortName,Volume,MarketCap,NumberofShares,Dividend,DividendYield,PERatio,FreeFloatinP,EPS2023,BookValuePerShare,CashFlowPerShare,NewsArticle,BuySellHold,52WeekLow,52WeekHigh,Forecast
Agilent Technologies,140.20,139.06,-0.81%,-1.14,03:19:45 PM,A,"61,096.00",41.23,295.70,0.64,,26.33,99.63,5.69,21.27,5.78,Agilent launches genomic profiling test SureSelect for solid tumors : https://markets.businessinsider.comhttps://seekingalpha.com/news/3956374-agilent-launches-genomic-profiling-test-sureselect-solid-tumors?utm_source=businessinsider&utm_medium=referral,"Agilent Technologies  stock has received a consensus rating of buy. The average rating score is  and is based on 27 buy ratings, 5 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Agilent Technologies stock was 112.64. According to the current price, Agilent Technologies is 123.35% away from the 52-week low.","The high in the last 52 weeks of Agilent Technologies stock was 160.08. According to the current price, Agilent Technologies is 86.79% away from the 52-week high.","The 32 analysts offering price forecasts for Agilent Technologies  have a median target of 159.38, with a high estimate of 200.00 and a low estimate of 130.00. The median estimate represents a 87.18 difference from the last price of 138.94."
Air Products and Chemicals,286.19,287.37,0.41%,1.18,03:19:10 PM,APD,"52,702.00",63.67,222.08,2.39,,22.15,98.30,11.35,67.76,15.89,Air Products and Chemicals (APD) Gains But Lags Market: What You Should Know : https://markets.businessinsider.com/news/stocks/air-products-and-chemicals-apd-gains-but-lags-market--what-you-should-know-12352926,"Air Products and Chemicals  stock has received a consensus rating of buy. The average rating score is  and is based on 28 buy ratings, 20 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Air Products and Chemicals stock was 218.93. According to the current price, Air Products and Chemicals is 131.34% away from the 52-week low.","The high in the last 52 weeks of Air Products and Chemicals stock was 328.37. According to the current price, Air Products and Chemicals is 87.57% away from the 52-week high.","The 49 analysts offering price forecasts for Air Products and Chemicals  have a median target of 308.12, with a high estimate of 390.00 and a low estimate of 243.00. The median estimate represents a 93.32 difference from the last price of 287.55."
Akamai,82.93,82.69,-0.30%,-0.25,03:18:55 PM,AKAM,"142,275.00",12.92,156.28,,,15.74,98.20,5.47,30.69,8.41,Akamai (AKAM) Survey Shows Rising Demand for Cloud Solution : https://markets.businessinsider.com/news/stocks/akamai-akam-survey-shows-rising-demand-for-cloud-solution-12343591,"Akamai  stock has received a consensus rating of hold. The average rating score is  and is based on 13 buy ratings, 15 hold ratings, and 2 sell ratings.","The low in the last 52 weeks of Akamai stock was 70.65. According to the current price, Akamai is 117.18% away from the 52-week low.","The high in the last 52 weeks of Akamai stock was 123.19. According to the current price, Akamai is 67.21% away from the 52-week high.","The 30 analysts offering price forecasts for Akamai  have a median target of 111.70, with a high estimate of 143.00 and a low estimate of 75.00. The median estimate represents a 74.12 difference from the last price of 82.79."
Alaska Air Group,42.65,42.51,-0.33%,-0.14,03:19:47 PM,ALK,"309,860.00",5.35,127.54,0.91,,9.81,99.58,5.74,39.35,10.90,Eyes on travel and transports in the earnings calendar ahead : https://markets.businessinsider.comhttps://seekingalpha.com/news/3956688-eyes-on-travel-and-transports-in-the-earnings-calendar-ahead?utm_source=businessinsider&utm_medium=referral,"Alaska Air Group  stock has received a consensus rating of buy. The average rating score is  and is based on 23 buy ratings, 6 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Alaska Air Group stock was 37.20. According to the current price, Alaska Air Group is 114.09% away from the 52-week low.","The high in the last 52 weeks of Alaska Air Group stock was 61.50. According to the current price, Alaska Air Group is 69.01% away from the 52-week high.","The 29 analysts offering price forecasts for Alaska Air Group  have a median target of 70.26, with a high estimate of 103.00 and a low estimate of 45.00. The median estimate represents a 60.41 difference from the last price of 42.44."
Albemarle,205.92,205.51,-0.20%,-0.42,03:19:54 PM,ALB,"239,101.00",23.97,117.20,1.90,,9.89,99.69,,,,3 Undervalued EV Stocks to Snatch Up on the Dip : https://markets.businessinsider.com/news/stocks/3-undervalued-ev-stocks-to-snatch-up-on-the-dip-1032240492,"Albemarle  stock has received a consensus rating of buy. The average rating score is  and is based on 31 buy ratings, 21 hold ratings, and 11 sell ratings.","The low in the last 52 weeks of Albemarle stock was 185.15. According to the current price, Albemarle is 111.43% away from the 52-week low.","The high in the last 52 weeks of Albemarle stock was 334.25. According to the current price, Albemarle is 61.72% away from the 52-week high.","The 63 analysts offering price forecasts for Albemarle  have a median target of 277.02, with a high estimate of 498.00 and a low estimate of 80.00. The median estimate represents a 74.48 difference from the last price of 206.31."
Alexandria Real Estate Equities,123.60,123.47,-0.11%,-0.13,03:19:49 PM,ARE,"55,270.00",20.56,173.09,3.92,,54.11,98.90,3.16,120.38,8.44,Alexandria Real Estate Equities (ARE) Could Be a Great Choice : https://markets.businessinsider.com/news/stocks/alexandria-real-estate-equities-are-could-be-a-great-choice-12347664,"Alexandria Real Estate Equities  stock has received a consensus rating of buy. The average rating score is  and is based on 18 buy ratings, 1 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Alexandria Real Estate Equities stock was 115.00. According to the current price, Alexandria Real Estate Equities is 105.56% away from the 52-week low.","The high in the last 52 weeks of Alexandria Real Estate Equities stock was 202.45. According to the current price, Alexandria Real Estate Equities is 59.96% away from the 52-week high.","The 19 analysts offering price forecasts for Alexandria Real Estate Equities  have a median target of 187.89, with a high estimate of 230.00 and a low estimate of 140.00. The median estimate represents a 64.61 difference from the last price of 121.39."
Align Technology,347.69,348.22,0.15%,0.53,03:18:27 PM,ALGN,"105,324.00",26.27,76.61,0.00,,27.06,93.42,8.01,50.24,9.71,Is the Options Market Predicting a Spike in Align Technology (ALGN) Stock? : https://markets.businessinsider.com/news/stocks/is-the-options-market-predicting-a-spike-in-align-technology-algn-stock-12351088,"Align Technology  stock has received a consensus rating of buy. The average rating score is  and is based on 32 buy ratings, 1 hold ratings, and 2 sell ratings.","The low in the last 52 weeks of Align Technology stock was 172.29. According to the current price, Align Technology is 202.03% away from the 52-week low.","The high in the last 52 weeks of Align Technology stock was 431.01. According to the current price, Align Technology is 80.76% away from the 52-week high.","The 35 analysts offering price forecasts for Align Technology  have a median target of 471.57, with a high estimate of 770.00 and a low estimate of 165.00. The median estimate represents a 73.81 difference from the last price of 348.07."
Allegion,104.44,104.15,-0.28%,-0.29,03:18:56 PM,ALLE,"84,526.00",9.04,87.87,2.24,,18.62,99.40,6.41,14.43,7.30,Allegion PLC hosts conference call for investors : https://markets.businessinsider.com/news/stocks/allegion_conference-1029635231,"Allegion  stock has received a consensus rating of buy. The average rating score is  and is based on 28 buy ratings, 21 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Allegion stock was 87.36. According to the current price, Allegion is 119.07% away from the 52-week low.","The high in the last 52 weeks of Allegion stock was 123.43. According to the current price, Allegion is 84.27% away from the 52-week high.","The 50 analysts offering price forecasts for Allegion  have a median target of 129.56, with a high estimate of 174.00 and a low estimate of 98.00. The median estimate represents a 80.29 difference from the last price of 104.02."
Alliant Energy,54.72,54.34,-0.69%,-0.38,03:19:47 PM,LNT,"157,251.00",13.68,251.14,3.47,,20.07,99.83,2.90,26.69,5.60,Alliant Energy declares $0.4525 dividend : https://markets.businessinsider.comhttps://seekingalpha.com/news/3955453-alliant-energy-corporation-declares-0_4525-dividend?utm_source=businessinsider&utm_medium=referral,"Alliant Energy  stock has received a consensus rating of hold. The average rating score is  and is based on 5 buy ratings, 10 hold ratings, and 2 sell ratings.","The low in the last 52 weeks of Alliant Energy stock was 47.23. According to the current price, Alliant Energy is 114.99% away from the 52-week low.","The high in the last 52 weeks of Alliant Energy stock was 65.26. According to the current price, Alliant Energy is 83.22% away from the 52-week high.","The 17 analysts offering price forecasts for Alliant Energy  have a median target of 59.82, with a high estimate of 70.00 and a low estimate of 46.00. The median estimate represents a 90.78 difference from the last price of 54.31."
Allstate,114.87,113.91,-0.84%,-0.96,03:19:51 PM,ALL,"136,222.00",29.58,263.33,2.65,,-139.02,99.34,6.26,61.42,33.00,Allstate hosts conference call for investors : https://markets.businessinsider.com/news/stocks/allstate_conference-1029994209,"Allstate  stock has received a consensus rating of hold. The average rating score is  and is based on 21 buy ratings, 34 hold ratings, and 7 sell ratings.","The low in the last 52 weeks of Allstate stock was 103.31. According to the current price, Allstate is 110.44% away from the 52-week low.","The high in the last 52 weeks of Allstate stock was 144.46. According to the current price, Allstate is 78.98% away from the 52-week high.","The 62 analysts offering price forecasts for Allstate  have a median target of 136.13, with a high estimate of 188.00 and a low estimate of 100.00. The median estimate represents a 83.82 difference from the last price of 114.10."
Alphabet A,105.97,104.40,-1.49%,-1.58,03:19:50 PM,GOOGL,,5.96,4.15,0.00,,19.25,99.58,5.13,22.73,7.92,Could Elon Musk’s ‘TruthGPT’ Rival AI From Microsoft and Google? : https://markets.businessinsider.com/news/stocks/could-elon-musks-truthgpt-rival-ai-from-microsoft-and-google-1032240853,"Alphabet   stock has received a consensus rating of buy. The average rating score is  and is based on 97 buy ratings, 3 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Alphabet  stock was 83.34. According to the current price, Alphabet  is 125.63% away from the 52-week low.","The high in the last 52 weeks of Alphabet  stock was 131.35. According to the current price, Alphabet  is 79.71% away from the 52-week high.","The 100 analysts offering price forecasts for Alphabet   have a median target of 1,662.20, with a high estimate of 4,183.00 and a low estimate of 114.00. The median estimate represents a 6.30 difference from the last price of 104.70."
Alphabet C,106.42,105.12,-1.22%,-1.30,03:19:54 PM,GOOG,,5.97,3.09,0.00,,19.29,86.73,5.12,22.73,7.92,Could Elon Musk’s ‘TruthGPT’ Rival AI From Microsoft and Google? : https://markets.businessinsider.com/news/stocks/could-elon-musks-truthgpt-rival-ai-from-microsoft-and-google-1032240853,,,,
Altria,45.45,46.09,1.40%,0.64,03:19:53 PM,MO,"238,758.00",1.79,,8.23,,9.49,99.88,5.06,-2.28,4.84,7 Dividend Stocks to Sell Before They Face Regulatory Risks : https://markets.businessinsider.com/news/stocks/7-dividend-stocks-to-sell-before-they-face-regulatory-risks-1032239202,"Altria  stock has received a consensus rating of hold. The average rating score is  and is based on 5 buy ratings, 12 hold ratings, and 4 sell ratings.","The low in the last 52 weeks of Altria stock was 40.35. According to the current price, Altria is 113.14% away from the 52-week low.","The high in the last 52 weeks of Altria stock was 57.04. According to the current price, Altria is 80.03% away from the 52-week high.","The 21 analysts offering price forecasts for Altria  have a median target of 62.64, with a high estimate of 338.00 and a low estimate of 36.00. The median estimate represents a 72.87 difference from the last price of 45.65."
Amazon,102.74,102.08,-0.64%,-0.66,03:19:53 PM,AMZN,,10.25,5.07,0.00,,-309.70,87.56,1.45,17.75,8.07,How Larry Page's flying-car company of the future turned into a stunning failure : https://markets.businessinsider.com/news/stocks/google-amazon-facebook-car-merc-office-larry-page-microsoft-flying-2023-4,"Amazon  stock has received a consensus rating of buy. The average rating score is A1 and is based on 96 buy ratings, 4 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Amazon stock was 81.44. According to the current price, Amazon is 125.41% away from the 52-week low.","The high in the last 52 weeks of Amazon stock was 158.60. According to the current price, Amazon is 64.40% away from the 52-week high.","The 100 analysts offering price forecasts for Amazon  have a median target of 605.16, with a high estimate of 4,250.00 and a low estimate of 103.00. The median estimate represents a 16.88 difference from the last price of 102.14."
Amcor,11.10,11.13,0.27%,0.03,03:19:55 PM,AMCR,"292,707.00",1.49,,4.64,,14.97,99.73,0.78,2.79,1.11,"Amcor, Nfinite enter joint research agreement to leverage nanotechnology in recyclable and compostable packaging : https://markets.businessinsider.com/news/stocks/amcor-nfinite-enter-joint-research-agreement-to-leverage-nanotechnology-in-recyclable-and-compostable-packaging-1032185146","Amcor  stock hasn't recieved a clear consensus rating. The average rating score is  and is based on 1 buy ratings, 0 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of Amcor stock was 10.43. According to the current price, Amcor is 106.33% away from the 52-week low.","The high in the last 52 weeks of Amcor stock was 13.60. According to the current price, Amcor is 81.54% away from the 52-week high.","The 2 analysts offering price forecasts for Amcor  have a median target of 12.35, with a high estimate of 13.20 and a low estimate of 11.50. The median estimate represents a 89.80 difference from the last price of 11.09."
AMD,89.87,90.03,0.17%,0.16,03:19:54 PM,AMD,,1.61,4.90,0.00,,18.44,99.07,3.08,34.77,3.03,Advanced Micro Devices (AMD): New Buy Recommendation for This Technology Giant : https://markets.businessinsider.com/news/stocks/advanced-micro-devices-amd-new-buy-recommendation-for-this-technology-giant-1032238573,"AMD  stock has received a consensus rating of buy. The average rating score is  and is based on 65 buy ratings, 32 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of AMD stock was 54.58. According to the current price, AMD is 163.81% away from the 52-week low.","The high in the last 52 weeks of AMD stock was 109.57. According to the current price, AMD is 81.60% away from the 52-week high.","The 98 analysts offering price forecasts for AMD  have a median target of 107.35, with a high estimate of 200.00 and a low estimate of 60.00. The median estimate represents a 83.29 difference from the last price of 89.41."
Ameren,89.75,88.59,-1.29%,-1.16,03:19:44 PM,AEE,"174,330.00",23.48,262.03,3.02,,21.72,99.43,4.36,42.82,10.10,8 Analysts Have This to Say About Ameren : https://markets.businessinsider.com/news/stocks/8-analysts-have-this-to-say-about-ameren-1032225317,"Ameren  stock has received a consensus rating of hold. The average rating score is  and is based on 15 buy ratings, 34 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of Ameren stock was 73.42. According to the current price, Ameren is 120.62% away from the 52-week low.","The high in the last 52 weeks of Ameren stock was 99.17. According to the current price, Ameren is 89.30% away from the 52-week high.","The 49 analysts offering price forecasts for Ameren  have a median target of 92.76, with a high estimate of 112.00 and a low estimate of 80.00. The median estimate represents a 95.48 difference from the last price of 88.56."
American Airlines,13.10,13.27,1.26%,0.17,03:19:53 PM,AAL,,8.35,651.43,0.24,,25.33,98.75,2.37,-6.35,6.02,Eyes on travel and transports in the earnings calendar ahead : https://markets.businessinsider.comhttps://seekingalpha.com/news/3956688-eyes-on-travel-and-transports-in-the-earnings-calendar-ahead?utm_source=businessinsider&utm_medium=referral,"American Airlines  stock has received a consensus rating of hold. The average rating score is  and is based on 4 buy ratings, 17 hold ratings, and 8 sell ratings.","The low in the last 52 weeks of American Airlines stock was 11.66. According to the current price, American Airlines is 113.00% away from the 52-week low.","The high in the last 52 weeks of American Airlines stock was 21.42. According to the current price, American Airlines is 61.48% away from the 52-week high.","The 29 analysts offering price forecasts for American Airlines  have a median target of 19.18, with a high estimate of 29.00 and a low estimate of 7.00. The median estimate represents a 68.66 difference from the last price of 13.17."
American Electric Power,93.29,92.41,-0.94%,-0.88,03:19:47 PM,AEP,"174,972.00",47.67,514.41,3.70,,18.85,99.90,,50.01,10.84,Citigroup Maintains Neutral Rating for American Electric Power: Here's What You Need To Know : https://markets.businessinsider.com/news/stocks/citigroup-maintains-neutral-rating-for-american-electric-power-here-s-what-you-need-to-know-1032240730,"American Electric Power  stock has received a consensus rating of buy. The average rating score is  and is based on 41 buy ratings, 8 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of American Electric Power stock was 80.33. According to the current price, American Electric Power is 114.94% away from the 52-week low.","The high in the last 52 weeks of American Electric Power stock was 105.58. According to the current price, American Electric Power is 87.45% away from the 52-week high.","The 50 analysts offering price forecasts for American Electric Power  have a median target of 104.27, with a high estimate of 118.00 and a low estimate of 82.50. The median estimate represents a 88.55 difference from the last price of 92.33."
American Express,163.71,164.81,0.67%,1.10,03:19:21 PM,AXP,"235,740.00",121.68,744.19,1.46,,14.93,99.86,11.14,38.05,,American Express hosts conference call for investors : https://markets.businessinsider.com/news/stocks/american_express_conference-1029644057,"American Express  stock has received a consensus rating of hold. The average rating score is A2 and is based on 35 buy ratings, 36 hold ratings, and 7 sell ratings.","The low in the last 52 weeks of American Express stock was 130.75. According to the current price, American Express is 126.05% away from the 52-week low.","The high in the last 52 weeks of American Express stock was 192.41. According to the current price, American Express is 85.66% away from the 52-week high.","The 78 analysts offering price forecasts for American Express  have a median target of 175.88, with a high estimate of 225.00 and a low estimate of 128.00. The median estimate represents a 93.70 difference from the last price of 164.81."
American International Group,51.91,52.41,0.96%,0.50,03:19:24 PM,AIG,"444,979.00",37.99,737.25,2.75,,13.94,99.73,6.24,61.00,,Analyst Expectations for American Intl Gr's Future : https://markets.businessinsider.com/news/stocks/analyst-expectations-for-american-intl-gr-s-future-1032217625,"American International Group  stock has received a consensus rating of hold. The average rating score is  and is based on 15 buy ratings, 18 hold ratings, and 0 sell ratings.","The low in the last 52 weeks of American International Group stock was 45.67. According to the current price, American International Group is 114.67% away from the 52-week low.","The high in the last 52 weeks of American International Group stock was 65.73. According to the current price, American International Group is 79.67% away from the 52-week high.","The 33 analysts offering price forecasts for American International Group  have a median target of 63.18, with a high estimate of 83.00 and a low estimate of 51.00. The median estimate represents a 82.89 difference from the last price of 52.37."
American Tower,208.77,207.54,-0.59%,-1.23,03:19:48 PM,AMT,"70,890.00",96.58,465.65,3.26,,56.37,99.37,4.43,14.28,11.22,American Tower Stock (NYSE:AMT): A Tailored Solution for a Challenging Market : https://markets.businessinsider.com/news/stocks/american-tower-stock-nyse-amt-a-tailored-solution-for-a-challenging-market-1032233801,"American Tower  stock has received a consensus rating of buy. The average rating score is  and is based on 34 buy ratings, 18 hold ratings, and 1 sell ratings.","The low in the last 52 weeks of American Tower stock was 178.77. According to the current price, American Tower is 115.97% away from the 52-week low.","The high in the last 52 weeks of American Tower stock was 282.41. According to the current price, American Tower is 73.41% away from the 52-week high.","The 53 analysts offering price forecasts for American Tower  have a median target of 266.43, with a high estimate of 328.00 and a low estimate of 209.00. The median estimate represents a 77.81 difference from the last price of 207.32."
American Water Works,149.78,148.07,-1.14%,-1.71,03:16:11 PM,AWK,"81,582.00",29.18,194.62,2.03,,34.13,99.75,4.77,51.00,8.26,Indiana American Water acquires Claypool water system : https://markets.businessinsider.comhttps://seekingalpha.com/news/3952103-indiana-american-water-acquires-claypool-water-system?utm_source=businessinsider&utm_medium=referral,"American Water Works  stock has received a consensus rating of hold. The average rating score is  and is based on 3 buy ratings, 12 hold ratings, and 9 sell ratings.","The low in the last 52 weeks of American Water Works stock was 123.13. According to the current price, American Water Works is 119.95% away from the 52-week low.","The high in the last 52 weeks of American Water Works stock was 169.13. According to the current price, American Water Works is 87.33% away from the 52-week high.","The 24 analysts offering price forecasts for American Water Works  have a median target of 167.00, with a high estimate of 205.00 and a low estimate of 130.00. The median estimate represents a 88.44 difference from the last price of 147.70."
