Date,author,title,description,url,source,image,category,language,country,published_at
2023-04-14,Reuters,Montana lawmakers vote to ban TikTok in the state,"Montana lawmakers on Friday passed a bill to ban popular short-form video app TikTok from operating in the state, the latest threat to the Chinese-owned app&#8217;s existence in the U.S. The bill, known as SB 419, would prohibit mobile app stores from offering TikTok for download to users in Montana. The Montana House voted 54-43 [&#8230;]",https://financialpost.com/pmn/business-pmn/montana-lawmakers-vote-to-ban-tiktok-in-the-state,Financial Post | Canada Business News,,business,en,us,2023-04-14T23:25:12+00:00
2023-04-15,Reuters,Ferrari fever? Classic cars roar into investment funds,"MILAN &#8212; In 1977, a Ferrari owner offloaded his 1962 250 GTO because his wife complained it was too noisy, recounts Andrea Modena, head of Ferrari&#8217;s classic car division. It was either her or the car. &#8220;Nowadays, I&#8217;m not sure the wife would have won out.&#8221; Times have indeed changed. In 2018, the same Ferrari [&#8230;]",https://financialpost.com/pmn/business-pmn/ferrari-fever-classic-cars-roar-into-investment-funds,Financial Post | Canada Business News,,business,en,us,2023-04-15T09:00:49+00:00
2023-04-15,The Associated Press,Macron’s unpopular pension plan enacted into French law,"PARIS (AP) &#8212; French President Emmanuel Macron&#8217;s unpopular plan to raise France&#8217;s retirement age from 62 to 64 was enacted into law Saturday, the day after the country&#8217;s constitutional body approved the change. Macron&#8217;s signature and publication in the Official Journal of the French Republic allowed the law to enter into force. On Friday, the [&#8230;]",https://financialpost.com/pmn/business-pmn/macrons-unpopular-pension-plan-enacted-into-french-law,Financial Post | Canada Business News,,business,en,us,2023-04-15T10:16:42+00:00
2023-04-15,Puja Molpariya,Scientists Just Found We’ve Been Looking At Common Late-onset Alzheimer’s Disease All Wrong: A New Clue,"A recent study has uncovered a crucial link between the rare early-onset and common late-onset forms of Alzheimer&#8217;s disease, potentially leading to more effective treatment strategies for the latter. The discovery of this missing link offers a new perspective on the disease and could change the way we approach treatment for common late-onset Alzheimer&#8217;s disease. [&#8230;]The post Scientists Just Found We&#8217;ve Been Looking At Common Late-onset Alzheimer&#8217;s Disease All Wrong: A New Clue appeared first on Revyuh.",https://www.revyuh.com/news/science-and-research/scientific-research/scientists-just-found-weve-been-looking-at-common-late-onset-alzheimers-disease-all-wrong-a-new-clue/,Revyuh Media,,business,en,us,2023-04-15T17:27:19+00:00
2023-04-16,zee business,"Israeli PM, finance minister say economy ""solid"" despite Moody's outlook cut","Israeli Prime Minister Benjamin Netanyahu and Finance Minister Bezalel Smotrich issued a joint statement, asserting that the country`s economy remains ""solid,"" despite Moody`s recent downgrade of Israel`s credit outlook.",https://www.zeebiz.com/economy-infra/world-economy/news-israeli-pm-finance-minister-say-economy-solid-despite-moodys-outlook-cut-230791,Zee Business,,business,en,us,2023-04-16T02:59:06+00:00
2023-04-13,Reuters,China developer Sunac shares plunge after year-long suspension ends,HONG KONG &#8212; Chinese property developer Sunac China Holdings Ltd&#8217;s shares fell 45% on Thursday morning after resuming trade following a suspension of more than a year as it looks to restructure its debt after a default. The share slump comes a day after the company said in a statement to the Hong Kong stock [&#8230;],https://financialpost.com/pmn/business-pmn/china-developer-sunac-shares-plunge-after-year-long-suspension-ends,Financial Post | Canada Business News,,business,en,us,2023-04-13T02:51:08+00:00
2023-04-13,Reuters,China’s March coal imports jump to 3-year high,"SINGAPORE &#8212; China&#8217;s coal imports surged in March to their highest in any month over the past three years as utilities increased purchases on expectations for a demand recovery and after curbs on bringing in Australian coal were removed. The world&#8217;s top coal consumer brought in 41.17 million tonnes last month, the highest level since [&#8230;]",https://financialpost.com/pmn/business-pmn/chinas-march-coal-imports-jump-to-3-year-high,Financial Post | Canada Business News,,business,en,us,2023-04-13T04:06:58+00:00
2023-04-13,,Warren Buffett's trip to Tokyo is seen as a 'stamp of approval' for investing in Japan,"Buffett recently revealed that he raised his stakes in the country&#039;s top trading houses, saying he was ""confounded"" by the opportunity.",https://www.cnbc.com/2023/04/13/warren-buffetts-trip-tokyo-jesper-koll.html,Cnbc | World Business News Leader,,business,en,us,2023-04-13T04:51:00+00:00
2023-04-13,Reuters,"Lack of electric vans opens door for Chinese, other EV makers","LONDON &#8212; Legacy automakers got off to a late start with their commercial electric vans, opening the door for other electric commercial vehicle (ECV) makers to gain a foothold, as the Maxus brand from China&#8217;s SAIC Motor Corp has done in Europe. Fleet customers complain they simply cannot obtain enough electric vans from the likes [&#8230;]",https://financialpost.com/pmn/business-pmn/lack-of-electric-vans-opens-door-for-chinese-other-ev-makers,Financial Post | Canada Business News,,business,en,us,2023-04-13T06:00:56+00:00
2023-04-13,Reuters,"China’s exports rise unexpectedly, but economists warn of weakness ahead","BEIJING &#8212; China&#8217;s exports unexpectedly surged in March, with officials flagging rising demand for electric vehicles, but analysts cautioned the improvement partly reflects suppliers catching up with unfulfilled orders after last year&#8217;s COVID-19 disruptions. Exports in March shot up 14.8% from a year ago, snapping five straight months of declines and stunning economists who predicted [&#8230;]",https://financialpost.com/pmn/business-pmn/chinas-exports-rise-unexpectedly-but-economists-warn-of-weakness-ahead,Financial Post | Canada Business News,,business,en,us,2023-04-13T06:55:48+00:00
